date,transaction_volume,customer_volume,aws_cost
2025-01-21,77336115.57784806,9266866,9233.0368804869
2025-01-22,71397208.69746439,9275729,9510.5883559196
2025-01-23,71762583.6087416,9285794,9211.3061997435
2025-01-24,68958148.80166724,9292930,8945.7688358973
2025-01-25,74706442.73761073,9298561,10075.4495974341
2025-01-26,68906071.71961439,9312013,9420.679604759
2025-01-27,63411437.860368185,9320430,8871.6624997012
2025-01-28,67364159.33310176,9326126,9576.3544234233
2025-01-29,67803022.71640012,9340616,10469.7686984622
2025-01-30,77312628.85244517,9355183,9785.4151703916
2025-01-31,78160868.19034387,9362389,9369.6271524356
2025-02-01,85069274.94268844,9368654,10232.2786666465
2025-02-02,77656501.06286906,9377702,10248.9151028026
2025-02-03,70682812.64327891,9387563,9489.9012690098
2025-02-04,76067362.27856895,9393733,10101.7832910847
2025-02-05,81364627.60680792,9403741,10029.5513193717
2025-02-06,73974089.44979003,9415851,10129.8117249026
2025-02-07,88069488.68375467,9422705,10004.8373835512
2025-02-08,95403425.18930183,9428595,10273.9877865644
2025-02-09,78835601.47273359,9436320,9931.3501419644
2025-02-10,71622457.90899618,9443145,9327.6957251018
2025-02-11,73689459.61792289,9448932,9963.7580739856
2025-02-12,83552482.27856894,9459515,10859.2575989304
2025-02-13,92118745.40879224,9472861,10041.3928507061
2025-02-14,76814699.77075373,9479296,10266.8117033502
2025-02-15,83532292.29554002,9485790,10507.3002055898
2025-02-16,77482598.68009725,9493334,10252.9441238625
2025-02-17,68059496.77283417,9501220,9750.0839770734
2025-02-18,70093298.94327272,9507700,10347.5326335916
2025-02-19,74727865.17540812,9517424,10347.6022789414
2025-02-20,72932673.20689538,9527666,10481.9877556485
2025-02-21,79722033.45379338,9535300,10826.9828918971
2025-02-22,105032149.53931676,9545996,10875.3642733084
2025-02-23,78701159.81440046,9555657,10565.7670834324
2025-02-24,68996738.59208159,9564272,10034.6775258528
2025-02-25,72444653.46061663,9570203,10728.6479436685
2025-02-26,73098850.55493939,9576836,11055.8700483647
2025-02-27,75049209.75582992,9585735,10740.658432462
2025-02-28,94605577.16467477,9595141,11670.9963827006
2025-03-01,114406900.61700523,9604250,10139.587199834
2025-03-02,94023111.91388772,9616604,11609.5808038912
2025-03-03,87375625.75945999,9626972,10987.9464626448
2025-03-04,93250989.84272712,9638428,11653.6385992402
2025-03-05,98556335.78501421,9650537,11724.5719685214
2025-03-06,98101736.11757374,9662064,11329.4545109702
2025-03-07,103251835.35944764,9671591,10258.0890944709
2025-03-08,99675123.41965365,9681199,10528.3022931626
2025-03-09,90807698.4974255,9694309,10239.3113161021
2025-03-10,79667370.28134769,9706592,9586.6100048086
2025-03-11,80554883.44564085,9718614,10069.8625265214
2025-03-12,87806506.3871676,9729381,10698.3465041314
2025-03-13,100395442.36677416,9745401,10113.9554401522
2025-03-14,86122544.78365034,9755701,9980.1934282277
2025-03-15,91732115.99907616,9765729,9847.5846161572
2025-03-16,82299731.29558875,9775597,9883.3597253706
2025-03-17,74920730.14241056,9790187,8929.5454428351
2025-03-18,75919766.3697806,9798923,9281.8448331536
2025-03-19,79429456.67245571,9807515,9973.8854497301
2025-03-20,98724447.32193121,9817970,9801.781178709
2025-03-21,90728654.00554375,9828881,9769.7378529836
2025-03-22,88736122.15352553,9839538,9422.9371126323
2025-03-23,79190191.59789965,9849631,9413.6918977804
2025-03-24,74422680.20840569,9861719,9158.3551269976
2025-03-25,75240624.21674192,9873628,9846.3887954215
2025-03-26,81518637.08459158,9891739,10171.721312742
2025-03-27,104613436.6543816,9904806,10384.3842994252
2025-03-28,102912613.74273299,9920606,9902.1761116071
2025-03-29,92333288.1695033,9931260,10672.5186609604
2025-03-30,112100468.77419965,9946548,10322.1580773992
2025-03-31,96774300.18756512,9957888,9459.8725162452
2025-04-01,88797788.56547412,9969364,6551.3925160587
2025-04-02,140752737.47829106,9980680,10063.4392589053
2025-04-03,91421401.54215333,9989148,9583.3158287056
2025-04-04,93672397.1381612,9996224,9880.2943637941
2025-04-05,108342632.96978118,10003951,10366.56720528
2025-04-06,98687401.45883988,10013015,10485.6107954538
2025-04-07,104455140.14588398,10022629,9721.1336818154
2025-04-08,99389047.08579367,10031864,10101.2748237324
2025-04-09,97889137.28377908,10044218,10320.9159564646
2025-04-10,100561755.27613755,10057212,10142.3929840832
2025-04-11,93695904.3001042,10068364,9965.0826939902
2025-04-12,90995510.6634248,10077775,10017.0122897127
2025-04-13,83651678.7217784,10088716,10422.7052730816
2025-04-14,88393483.1816603,10100181,9538.0294617147
2025-04-15,79984910.53838138,10111056,9819.3027691745
2025-04-16,92393615.11635984,10121964,10613.8010371562
2025-04-17,98690350.48256719,5066737,10090.6979817392
2025-04-18,109733348.8765754,10145170,10470.5085068133
2025-04-19,102996064.52240361,10155616,11032.911531733
2025-04-20,112880468.60715526,10178061,11482.5118449093
2025-04-21,101949996.30427231,10190280,9947.1693255498
2025-04-22,86499160.4307051,10198916,10056.1157801158
2025-04-23,93145405.15959784,10208159,10363.8765507435
2025-04-24,101293297.28407665,10218164,10341.6224640227
2025-04-25,102084989.64502986,10228359,10351.4029023389
2025-04-26,95075129.35065725,10237879,10603.4572098121
2025-04-27,91159574.67423289,10249555,10866.6271027891
2025-04-28,94667556.5402116,10260721,9713.4088454579
2025-04-29,86737945.40462968,10268751,10195.848186368
2025-04-30,96761007.10422926,10278372,10605.8744266372
2025-05-01,111073033.5602946,10289722,-3737.2429724566
2025-05-02,95561508.14323872,10299034,10314.2421119199
2025-05-03,99288758.39856996,10308142,10494.0899908974
2025-05-04,94716416.02734037,10317797,10857.188141495
2025-05-05,93776591.31642932,10328311,9917.9689403651
2025-05-06,102709752.12356986,10336148,11675.3355536118
2025-05-07,109736266.87141822,10347881,11999.2604026603
2025-05-08,138196073.5329883,10360835,11086.6437951593
2025-05-09,113364788.52131447,10369405,10892.1931050248
2025-05-10,106135136.78627752,10378660,10974.2804224119
2025-05-11,96374589.41241649,10388821,11477.1220056584
2025-05-12,100235677.10249649,10399231,10088.4804749993
2025-05-13,89830195.06190725,10407126,10379.8891883954
2025-05-14,91757843.36354063,10415186,11170.4945847682
2025-05-15,105562305.82342125,10425179,10642.0249243517
2025-05-16,99587801.13207681,10433685,10746.5133706999
2025-05-17,95788322.06465615,10441168,10655.7874834277
2025-05-18,88922837.98654605,10448596,11633.1156462983
2025-05-19,103183825.97338593,10459907,10120.7312422453
2025-05-20,80406307.04871094,10466647,10665.3098290215
2025-05-21,94307463.76363821,10474780,11478.8549172312
2025-05-22,108200590.26201537,10483932,10889.211562271
2025-05-23,97348380.83583125,10491413,11241.5135628343
2025-05-24,100069853.50543828,10499264,11279.097849017
2025-05-25,89279144.80362678,10508207,11959.7599369949
2025-05-26,107846499.7069233,10516750,10674.9019010146
2025-05-27,95452333.50505976,10523872,11184.6441805995
2025-05-28,97915442.28449762,10531772,12166.7567588595
2025-05-29,114647826.62626353,10541311,11379.3030783914
2025-05-30,94810369.28150749,10548308,11377.3346119137
2025-05-31,107049258.89913808,10556163,12035.7813278328
2025-06-01,101845796.32117699,10568418,10967.86113353
2025-06-02,108035686.40547663,10578123,11063.1528751255
2025-06-03,99210825.23904675,10584380,11363.4613243624
2025-06-04,103514396.51573023,10590997,11923.0922714668
2025-06-05,116639805.93269512,10598744,12064.1152188511
2025-06-06,119010877.22260584,10609398,12166.0021720742
2025-06-07,120904220.63392511,10617276,11902.5339763132
2025-06-08,106494698.32759915,10624408,12527.821271603
2025-06-09,115930620.68773879,10633553,11464.2931936227
2025-06-10,102635397.30179256,10640300,11929.964229284
2025-06-11,106557488.12782216,10650622,12248.5180675027
2025-06-12,116166418.56203634,10658399,11773.4073502446
2025-06-13,107216577.97866106,10666649,11916.3044659121
2025-06-14,116107762.19520667,10674138,12180.56847229
2025-06-15,104904713.95254171,10683085,12861.5508149786
2025-06-16,121954620.35569699,10694787,11993.5996368853
2025-06-17,104104279.31905976,10705851,12213.4867808205
2025-06-18,101671039.44425148,10715213,12472.3319513586
2025-06-19,116239083.79297693,10724736,12968.2145761688
2025-06-20,117493921.500521,10737523,13071.0250904955
2025-06-21,119499671.94154416,10751849,13004.811054482
2025-06-22,105585616.67255457,10762006,13171.6570650513
2025-06-23,117712050.23966655,10773674,12219.6392319292
2025-06-24,100736011.1370592,10785925,12327.3242813438
2025-06-25,101042635.24835011,10796959,12749.242557069
2025-06-26,108778047.15526225,10806114,12515.892192013
2025-06-27,103923203.45215996,10814360,12766.7040201401
2025-06-28,109813047.5303925,10823551,13007.2704483815
2025-06-29,101823226.28690517,10835960,13719.8840139192
2025-06-30,111528985.34213269,10852375,12757.3575852324
2025-07-01,107662883.62747203,10862094,11887.1658809045
2025-07-02,118539023.58191973,10871160,14021.6665297291
2025-07-03,124742736.79367459,10877954,13095.0216833921
2025-07-04,118581884.61797792,10886013,14162.7896431194
2025-07-05,137312788.70925245,10900850,13983.4176394218
2025-07-06,118267137.99753106,10910161,13352.6096098492
2025-07-07,126662382.28929338,10918044,12343.7515878814
2025-07-08,114428439.31385638,10927538,13478.1579095289
2025-07-09,112730736.69848943,10944295,13585.6486774801
2025-07-10,114291990.73401265,10955221,12585.8413070075
2025-07-11,106109501.56977579,10962826,12638.4675345189
2025-07-12,107817559.75298391,10970701,12543.7653462283
2025-07-13,106057608.5653156,10980392,13141.5003639657
2025-07-14,116147707.0842694,10995998,11794.2291868848
2025-07-15,95351621.21058673,11004793,12307.9609182991
2025-07-16,110646258.84435949,11019150,12859.4789386531
2025-07-17,114176588.6586222,11055773,12145.1177089497
2025-07-18,103787064.16945873,11072751,12440.1607698773
2025-07-19,113123711.07171269,11083238,12572.3498110549
2025-07-20,103130823.31365058,11094852,13336.5036886291
2025-07-21,114207467.37118281,11106830,11724.1782977515
2025-07-22,107872074.58167996,11115582,12350.6777418171
2025-07-23,108642738.17375885,11125880,12875.3462022051
2025-07-24,119125343.96739852,11135918,12264.3369130222
